年份,月份,交易類別,縣市,鄉鎮市區,交易標的,土地區段位置.建物區段門牌,土地移轉總面積.平方公尺.,使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積.平方公尺.,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱, 總價.元. ,單價.元.平方公尺.,車位類別,車位移轉總面積.平方公尺.,車位總價.元.,交易標的橫坐標,交易標的縱坐標,Longitude,Latitude
101,11,租賃,臺北市,北投區,建物,臺北市北投區裕民二路1~50號,0,商,NA,NA,10111,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950630,138.77,3,2,2,有,有,有,68335,492,,0,0,302152,2778609,121.51714,25.11486
100,10,租賃,臺北市,大同區,建物,臺北市大同區民生西路201~250號,0,,NA,NA,10010,土地0建物1車位0,一層,11,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,890411,320.93,0,0,0,無,有,無,160000,499,,0,0,301891,2772150,121.51431,25.05656
101,10,租賃,臺北市,大同區,建物,臺北市大同區市民大道一段201~250號,4.65,其他,NA,NA,10110,土地0建物1車位0,十五層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,980724,47.2,0,0,1,有,有,有,22500,477,,0,0,302516,2771644,121.52048,25.05197
101,11,租賃,臺北市,大同區,建物,臺北市大同區市民大道路一段201~250號,0,其他,NA,NA,10111,土地0建物1車位0,五層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,980724,130.6,3,2,2,有,有,有,65000,498,,0,0,302228,2771320,121.51762,25.04905
101,11,租賃,臺北市,大同區,建物,臺北市大同區市民大道路一段201~250號,0,其他,NA,NA,10111,土地0建物1車位0,十三層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,980724,133.63,1,1,2,有,有,有,60000,449,,0,0,302203,2771345,121.51737,25.04928
101,11,租賃,臺北市,松山區,建物,臺北市松山區三民路110巷1~50號,0,住,NA,NA,10111,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,NA,113.33,0,0,0,無,無,無,70000,618,,0,0,306941,2772311,121.56436,25.05783
101,11,租賃,臺北市,內湖區,建物,臺北市內湖區石潭路1~50號,0,其他,NA,NA,10111,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,980831,94.79,1,1,1,有,有,有,32500,343,,0,0,309147,2772860,121.58625,25.0627
101,11,租賃,臺北市,內湖區,建物,臺北市內湖區瑞光路513巷1~50號,246.02,工,NA,NA,10111,土地0建物1車位2,九層,10,廠辦,工業用,鋼筋混凝土造,871015,300.71,4,1,0,有,無,有,95000,316,坡道平面,0,6000,307464,2774791,121.56965,25.0802
101,12,租賃,臺北市,內湖區,房地(土地+建物)+車位,臺北市內湖區新湖三路101~150號,4105.67,工,NA,NA,10112,土地1建物1車位0,五層,6,廠辦,工業用,鋼筋混凝土造,910115,250.87,0,0,0,無,無,有,80418,321,坡道平面,0,0,308294,2773003,121.5778,25.06402
101,11,租賃,臺北市,中山區,建物,臺北市中山區松江路301~350號,0,商,NA,NA,10111,土地0建物1車位0,六層,12,辦公商業大樓,住家用,鋼筋混凝土造,661208,463.2,7,0,1,有,有,無,170000,367,,0,0,303754,2772636,121.53279,25.06088
101,11,租賃,臺北市,內湖區,建物,臺北市內湖區成功路三段151~200號,0,,NA,NA,10111,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700831,132.42,0,0,0,無,無,無,80000,604,,0,0,309600,2774789,121.59082,25.0801
101,11,租賃,臺北市,內湖區,建物,臺北市內湖區內湖路二段235巷2弄1~50號,0,住,NA,NA,10111,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700506,105.16,2,2,1,有,無,有,20000,190,,0,0,309427,2774988,121.58912,25.0819
101,11,租賃,臺北市,內湖區,建物,臺北市內湖區大湖山莊街219巷34弄1~50號,0,商,NA,NA,10111,土地0建物1車位0,地下一層,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,810717,42.73,1,1,1,有,有,有,14000,328,,0,0,310477,2775829,121.59956,25.08945
101,11,租賃,臺北市,中山區,建物,臺北市中山區松江路51~100號,0,商,NA,NA,10111,土地0建物1車位0,四層,11,辦公商業大樓,商業用,鋼筋混凝土造,620322,102.69,2,1,0,有,有,無,30000,292,,0,0,303760,2771268,121.5328,25.04853
101,11,租賃,臺北市,中山區,房地(土地+建物),臺北市中山區遼寧街101~150號,0,住,NA,NA,10111,土地1建物1車位0,一層,5,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830614,185.52,0,1,1,有,有,無,126000,679,,0,0,304700,2771579,121.54212,25.0513
101,11,租賃,臺北市,松山區,房地(土地+建物),臺北市松山區健康路3巷1~50號,92,住,NA,NA,10111,土地2建物1車位0,一層,4,店面(店鋪),住家用,加強磚造,NA,115.48,0,0,0,無,無,無,120000,1039,,0,0,305755,2771672,121.55258,25.0521
101,11,租賃,臺北市,信義區,建物,臺北市信義區莊敬路201~250號,0,住,NA,NA,10111,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620109,82.01,0,0,0,無,無,無,20000,244,,0,0,306668,2769233,121.56153,25.03005
101,11,租賃,臺北市,南港區,建物,臺北市松山區南港路三段149巷49弄1~50號,0,工,NA,NA,10111,土地0建物1車位0,一層,4,工廠,工業用,鋼筋混凝土造,NA,380.53,0,0,0,無,無,無,115000,NA,,0,0,309101,2771639,121.58574,25.05168
101,11,租賃,臺北市,北投區,房地(土地+建物),臺北市北投區行義路124巷1~50號,568.37,住,NA,NA,10111,土地1建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,831028,233.56,3,2,2,有,無,無,33000,141,,0,0,303438,2780160,121.52995,25.12882
