年份,月份,交易類別,縣市,鄉鎮市區,交易標的,土地區段位置.建物區段門牌,土地移轉總面積.平方公尺.,使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積.平方公尺.,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱, 總價.元. ,單價.元.平方公尺.,車位類別,車位移轉總面積.平方公尺.,車位總價.元.,交易標的橫坐標,交易標的縱坐標,Longitude,Latitude
101,8,租賃,臺北市,大安區,房地(土地+建物),臺北市大安區敦化南路二段1~50號,33.49,其他,NA,NA,10108,土地3建物1車位0,六層,18,辦公商業大樓,商業用,鋼筋混凝土造,770613,364.64,6,1,1,有,有,無,"180,000",494,,0,0,305309,2769520,121.54808,25.03269
101,8,租賃,臺北市,萬華區,房地(土地+建物),臺北市萬華區中華路二段301~350號,10.38,住,NA,NA,10108,土地2建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,570816,28.05,2,1,1,有,無,有,"10,000",357,,0,0,300859,2769163,121.50397,25.02963
101,9,租賃,臺北市,士林區,建物,臺北市士林區中山北路五段751~800號,0,,NA,NA,10109,土地0建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,加強磚造,620508,97.54,3,2,1,有,無,有,"17,000",174,,0,0,303124,2776846,121.52671,25.09891
101,9,租賃,臺北市,士林區,建物,臺北市士林區德行西路101~150號,0,住,NA,NA,10109,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680122,85.52,3,2,1,有,無,無,"19,000",222,,0,0,302511,2777370,121.52065,25.10366
101,9,租賃,臺北市,大安區,建物,臺北市大安區信義路四段51~100號,0,,NA,NA,10109,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,NA,84.11,3,2,1,有,有,無,"25,000",297,,0,0,305052,2769526,121.54553,25.03276
101,8,租賃,臺北市,大安區,建物,臺北市大安區信義路四段51~100號,0,,NA,NA,10108,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,NA,84.11,3,2,1,有,有,無,"25,000",297,,0,0,305048,2769530,121.54549,25.03279
101,8,租賃,臺北市,大安區,房地(土地+建物),臺北市大安區仁愛路三段123巷9弄1~50號,43.05,住,NA,NA,10108,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,711220,137.31,0,0,2,有,無,有,"88,000",641,,0,0,304733,2770182,121.5424,25.03869
101,9,租賃,臺北市,中山區,建物,臺北市中山區新生北路一段1~50號,0,住,NA,NA,10109,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),,加強磚造,NA,68.89,3,1,1,有,無,無,"12,000",174,,0,0,303587,2771117,121.53108,25.04717
101,8,租賃,臺北市,中山區,建物,臺北市中山區中山北路二段77巷1~50號,0,,NA,NA,10108,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,981027,109.01,2,2,1,有,無,有,"45,000",413,,0,0,302836,2772251,121.52368,25.05744
101,8,租賃,臺北市,中正區,房地(土地+建物),臺北市中正區博愛路101~150號,13.39,商,NA,NA,10108,土地1建物1車位0,一層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,800510,73.75,0,0,0,無,有,無,"160,000",2169,,0,0,301609,2770650,121.51146,25.04302
101,8,租賃,臺北市,松山區,建物,臺北市松山區新中街10巷1~50號,87.25,住,NA,NA,10108,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,NA,127.82,1,1,1,有,無,無,"50,000",391,,0,0,306589,2772522,121.56088,25.05975
101,8,租賃,臺北市,信義區,建物,臺北市信義區信義路四段351~400號,4.54,,NA,NA,10108,土地0建物1車位0,八層,12,辦公商業大樓,住家用,鋼筋混凝土造,NA,132.99,0,0,0,無,有,無,"38,800",292,,0,0,306375,2769586,121.55864,25.03325
101,8,租賃,臺北市,信義區,建物,臺北市信義區松德路151~200號,0,住,NA,NA,10108,土地0建物1車位0,五層,21,辦公商業大樓,見使用執照,鋼骨混凝土造,841212,150.84,3,0,0,有,有,無,"55,556",368,,0,0,308021,2769864,121.57496,25.0357
101,9,租賃,臺北市,松山區,建物,臺北市松山區民生東路四段112巷1~50號,0,,NA,NA,10109,土地0建物0車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,NA,14.5,1,0,1,有,無,有,"8,000",552,,0,0,305948,2772204,121.55452,25.0569
101,8,租賃,臺北市,松山區,房地(土地+建物),臺北市松山區三民路113巷1~50號,7.66,商,NA,NA,10108,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,711230,38.63,1,0,1,有,有,有,"11,250",291,,0,0,306746,2772318,121.56243,25.0579
101,9,租賃,臺北市,松山區,房地(土地+建物),臺北市松山區延壽街401~450號,28.6,住,NA,NA,10109,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,NA,98.56,3,2,1,有,有,有,"26,000",264,,0,0,306114,2772101,121.55616,25.05596
101,8,租賃,臺北市,中正區,房地(土地+建物),臺北市中正區信義路二段101~150號,17.25,商,NA,NA,10108,土地1建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,950804,162.41,3,1,2,有,有,有,"78,000",480,,0,0,303312,2769663,121.52829,25.03406
101,8,租賃,臺北市,大同區,建物,臺北市大同區市民大道路一段201~250號,0,其他,NA,NA,10108,土地0建物1車位0,六層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,980724,84.62,1,1,1,有,有,有,"40,000",473,,0,0,302219,2771330,121.51753,25.04914
101,9,租賃,臺北市,中正區,建物,臺北市中正區師大路151~200號,0,,NA,NA,10109,土地0建物0車位0,二層,4,公寓(5樓含以下無電梯),,加強磚造,NA,14,1,0,1,有,無,有,"7,500",536,,0,0,302880,2768212,121.52396,25.02097
101,8,租賃,臺北市,中山區,房地(土地+建物)+車位,臺北市內湖區樂群二路251~300號,9.18,其他,NA,NA,10108,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,970603,50.52,1,1,1,有,有,有,"30,000",594,坡道機械,19.67,0,306647,2774761,121.56155,25.07996
101,8,租賃,臺北市,中山區,房地(土地+建物),臺北市中山區新生北路三段51~100號,3.78,住,NA,NA,10108,土地1建物1車位0,六層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,690801,26.8,1,0,1,有,有,有,"11,000",410,,0,0,303209,2773212,121.52741,25.0661
101,8,租賃,臺北市,中山區,建物,臺北市中山區德惠街51~100號,0,,NA,NA,10108,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,710227,65,2,1,1,有,有,有,"20,000",308,,0,0,303203,2773221,121.52735,25.06618
101,8,租賃,臺北市,中山區,建物,臺北市中山區南京西路23巷1~50號,0,,NA,NA,10108,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650521,16,1,0,1,有,無,有,"12,000",750,,0,0,302551,2771852,121.52084,25.05384
101,10,租賃,臺北市,中山區,建物,臺北市中山區松江路101~150號,0,,NA,NA,10110,土地0建物1車位0,五層,12,辦公商業大樓,商業用,鋼筋混凝土造,691217,128.4,3,2,0,有,有,無,"70,000",545,,0,0,303762,2771826,121.53284,25.05357
101,8,租賃,臺北市,內湖區,建物,臺北市內湖區內湖路一段201~250號,0,工,NA,NA,10108,土地0建物2車位0,七層,12,廠辦,工業用,見使用執照,920107,1065.65,0,0,0,無,有,無,"361,882",340,其他,0,0,307201,2774931,121.56705,25.08147
101,8,租賃,臺北市,大安區,建物,臺北市大安區瑞安街135巷1~50號,29.25,住,NA,NA,10108,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,NA,81.92,3,2,2,有,無,無,"20,000",244,,0,0,304527,2768860,121.5403,25.02676
101,9,租賃,臺北市,南港區,建物,臺北市南港區忠孝東路六段70巷21弄1~50號,0,住,NA,NA,10109,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,730724,75.06,3,2,2,有,有,有,"23,000",306,,0,0,309070,2770994,121.58541,25.04586
101,8,租賃,臺北市,內湖區,建物,臺北市內湖區康寧路一段101~150號,0,,NA,NA,10108,土地0建物0車位0,三層,7,店面(店鋪),見使用執照,鋼筋混凝土造,720111,1099,0,3,1,有,無,有,"380,000",346,,0,0,309862,2774716,121.59342,25.07943
101,8,租賃,臺北市,大安區,建物,臺北市大安區忠孝東路四段201~250號,0,,NA,NA,10108,土地0建物1車位0,四層,12,辦公商業大樓,住家用,鋼筋混凝土造,NA,33,0,1,0,無,無,無,"16,000",485,,0,0,305933,2770446,121.5543,25.04103
101,9,租賃,臺北市,士林區,房地(土地+建物)+車位,臺北市士林區忠誠路二段1~50號,0,住,NA,NA,10109,土地0建物1車位1,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,761116,206.78,4,2,2,有,有,有,"85,000",411,坡道平面,0,5000,303487,2778090,121.53036,25.11013
101,9,租賃,臺北市,中山區,房地(土地+建物),臺北市中山區民族東路201~250號,40.76,商,NA,NA,10109,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,740515,102.49,0,0,0,無,無,無,"58,000",566,,0,0,303883,2773407,121.5341,25.06784
101,8,租賃,臺北市,內湖區,建物,臺北市內湖區成功路二段426巷51~100號,26.44,住,NA,NA,10108,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670531,26.44,1,1,1,有,無,有,"13,000",492,,0,0,309342,2773641,121.58822,25.06974
